ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _wpcom_is_markdown
85,simple,mango-juice,,Mango Juice,1,0,visible,"Tropical and naturally sweet, perfect for refreshing moments.","Bright, tropical, and naturally sweet — our Mango Juice is crafted from ripe, sun-kissed mangoes for a refreshingly smooth experience. Enjoy it chilled for a burst of sunshine in every glass.",,,taxable,,1,,,0,0,,,,,1,,4.49,5.99,Beverages > Juice,"bottled, cold drink, fruit juice, mango, no pulp, tropical",,https://cdn.madrasthemes.com/groceria/images/products/mango-juice.webp,,,,,,,,,0,,Size,"500ml, 1L, 2L",0,0,Nutriscore,C,0,0,
86,simple,yirgacheffe-organic,,Yirgacheffe Organic,1,0,visible,Bright Ethiopian coffee with floral notes and citrus hints.,"Grown in the highlands of Ethiopia, our Yirgacheffe Organic coffee delivers floral notes and a hint of citrus in every sip. Ethically sourced and organically grown, it’s a favorite among true coffee lovers.",,,taxable,,1,,,0,0,,,,,1,,14.95,18,Beverages > Coffee,"arabica, coffee, ethiopian, fair trade, organic, yirgacheffe",,https://cdn.madrasthemes.com/groceria/images/products/yirgacheffe-organic.webp,,,,,,,,,0,,Size,"250g, 500g, 1kg",0,0,Nutriscore,A,0,0,
87,simple,pumpernickel-bread,,Pumpernickel Bread,1,0,visible,"Dense, hearty rye bread with deep, rich flavor.","Dense, hearty, and rich with earthy flavor, our Pumpernickel Bread is a classic European-style loaf made with whole rye flour. Perfect for sandwiches, toasting, or a savory cheese board.",,,taxable,,1,,,0,0,,,,,1,,4.99,6.5,Bakery > Bread,"artisan, bread, hearty, pumpernickel, rye, sliced",,https://cdn.madrasthemes.com/groceria/images/products/pumpernickel-bread.webp,,,,,,,,,0,,Size,"400g, 600g, 1 loaf",0,0,Nutriscore,A,0,0,
88,simple,porcini-mushrooms,,Porcini Mushrooms,1,0,visible,"Earthy, aromatic mushrooms ideal for gourmet cooking.","Hand-harvested and deeply aromatic, Porcini Mushrooms bring rich umami flavor to soups, risottos, and gourmet sauces. A must-have for serious home cooks and foodies alike.",,,taxable,,1,,,0,0,,,,,1,,17.49,21.95,Produce > Mushrooms,"dried, earthy flavor, gourmet, mushrooms, porcini, umami",,https://cdn.madrasthemes.com/groceria/images/products/porcini-mushrooms.webp,,,,,,,,,0,,Size,"50g, 100g, 200g (dried)",0,0,Nutriscore,A,0,0,
89,simple,original-waffles,,Original Waffles,1,0,visible,"Crispy and fluffy, made for easy, delicious breakfasts.","Crispy on the outside, fluffy on the inside — our Original Waffles are ready to toast and serve in minutes. Made with simple ingredients for that homemade taste your mornings deserve.",,,taxable,,1,,,0,0,,,,,1,,5.75,7.25,Bakery > Breakfast Foods,"breakfast, crispy, frozen, golden, toaster-ready, waffles",,https://cdn.madrasthemes.com/groceria/images/products/original-waffles.webp,,,,,,,,,0,,Size,"4 pcs, 6 pcs, 12 pcs",0,0,Nutriscore,C,0,0,
90,simple,garden-fresh-spring-shoots,,Garden-Fresh Spring Shoots,1,0,visible,"Tender spring onions for a fresh, mild crunch.","Crisp, mild, and bursting with freshness, these spring onions are handpicked at their peak for maximum flavor and crunch. Perfect for garnishing soups, tossing in salads, or adding a fresh twist to your stir-fry.",,,taxable,,1,,,0,0,,,,,1,,2.5,3.5,Produce > Vegetables,"fresh vegetables, garnish, salad, scallions, spring onions",,https://cdn.madrasthemes.com/groceria/images/products/garden-fresh-spring-shoots.webp,,,,,,,,,0,,Size,"100g, 200g, 300g",0,0,Nutriscore,A,0,0,
91,simple,golden-sunset-mango,,Golden Sunset Mango,1,0,visible,"Juicy, sun-ripened mangoes with tropical sweetness.","Sink your teeth into the sweet, tropical richness of Golden Sunset Mangoes. Grown in sun-drenched orchards, these vibrant fruits are juicy, fragrant, and perfect for smoothies, snacks, or desserts.",,,taxable,,1,,,0,0,,,,,1,,3.75,4.99,Produce > Fruits,"fresh produce, juicy, mango, ripe, tropical fruit",,https://cdn.madrasthemes.com/groceria/images/products/golden-sunset-mango.webp,,,,,,,,,0,,Size,"1 pc, 2 pcs, 4 pcs",0,0,Nutriscore,A,0,0,
92,simple,black-angus-brioche-burger,,Black Angus Brioche Burger,1,0,visible,Premium Angus beef patty on a soft brioche bun.,"Indulge in gourmet flavor with our Black Angus Brioche Burger — a thick, juicy patty of premium Angus beef nestled in a soft, buttery brioche bun. Ideal for backyard barbecues or an elevated weeknight meal.",,,taxable,,1,,,0,0,,,,,1,,10.25,12.95,Meat & Seafood > Beef,"angus beef, brioche, burger, gourmet, grilling, juicy",,https://cdn.madrasthemes.com/groceria/images/products/black-angus-brioche-burger.webp,,,,,,,,,0,,Size,"1 patty, 2 pcs, 4 pcs (with bun)",0,0,Nutriscore,C,0,0,
93,simple,crimson-jewel-berries,,Crimson Jewel Berries,1,0,visible,"Lush red strawberries bursting with sweet, juicy flavor.","These strawberries aren’t just sweet — they’re radiant. Crimson Jewel Berries are hand-selected for their deep red color, lush aroma, and irresistibly juicy bite. Enjoy them fresh, dipped in chocolate, or on top of your favorite dessert.",,,taxable,,1,,,0,0,,,,,1,,5.25,6.75,Produce > Fruits,"antioxidant, dessert, fresh, red berries, strawberries, sweet",,https://cdn.madrasthemes.com/groceria/images/products/crimson-jewel-berries.webp,,,,,,,,,0,,Size,"150g, 250g, 500g",0,0,Nutriscore,A,0,0,
94,simple,velvet-ruby-plums,,Velvet Ruby Plums,1,0,visible,Sweet-tart plums with velvety skin and juicy flesh.,"Rich in color and bursting with flavor, Velvet Ruby Plums offer a perfect balance of sweet and tart. Their velvety skin and juicy flesh make them a luxurious addition to fruit bowls, tarts, or cheese boards.",,,taxable,,1,,,0,0,,,,,1,,3.95,5.25,Produce > Fruits,"juicy, plums, ruby red, stone fruit, sweet-tart",,https://cdn.madrasthemes.com/groceria/images/products/velvet-ruby-plums.webp,,,,,,,,,0,,Size,"2 pcs, 4 pcs, 6 pcs",0,0,Nutriscore,A,0,0,
95,simple,gluten-free-forbidden-rice-batard-frozen,,"Gluten-Free Forbidden Rice Batard, Frozen",1,0,visible,"Nutty, chewy black rice loaf — gluten-free and bake-ready.","Crafted with black forbidden rice and a gluten-free blend, this batard-style loaf delivers a rich, nutty flavor and chewy interior. Frozen for freshness and ready to bake — a wholesome alternative for bread lovers.",,,taxable,,1,,,0,0,,,,,1,,7.25,9.5,Bakery > Frozen Breads,"artisan, black rice, frozen, gluten-free, rice bread",,https://cdn.madrasthemes.com/groceria/images/products/gluten-free-forbidden-rice-batard-frozen.webp,,,,,,,,,0,,Size,"300g, 500g, 1 loaf",0,0,Nutriscore,B,0,0,
96,simple,chicken-air-chilled-raised-w-o-antibiotics,,"Chicken, Air-Chilled, Raised w/o Antibiotics",1,0,visible,"Juicy, clean-label chicken processed without added water.","Tender, juicy chicken raised without antibiotics and processed using an air-chilling method that locks in flavor without added water. Perfect for healthy home cooking with confidence.",,,taxable,,1,,,0,0,,,,,1,,12.5,14.95,Meat & Seafood > Poultry,"air-chilled, antibiotic-free, chicken, fresh meat, poultry",,https://cdn.madrasthemes.com/groceria/images/products/chicken-air-chilled-raised-w-o-antibiotics.webp,,,,,,,,,0,,Size,"500g, 1kg, 1.5kg",0,0,Nutriscore,A,0,0,
97,simple,doubles-plus-paper-towels,,Doubles Plus Paper Towels,1,0,visible,Ultra-absorbent towels for heavy-duty household cleaning.,"Super absorbent and extra durable, Doubles Plus Paper Towels handle the messiest spills with ease. Each roll lasts longer, making cleanup quick and efficient — and kinder to the planet.",,,taxable,,1,,,0,0,,,,,1,,6.99,8.99,Household Essentials > Paper Products,"absorbent, cleanup, eco-friendly, household, paper towels",,https://cdn.madrasthemes.com/groceria/images/products/doubles-plus-paper-towels.webp,,,,,,,,,0,,Size,"2 rolls, 4 rolls, 6 rolls",0,0,,,,,
98,simple,popcorn-original,,"Popcorn, Original",1,0,visible,"Light, crunchy, and classic — your everyday snack.","Light, airy, and perfectly crunchy — this Original Popcorn is a timeless snack made with simple ingredients. Great for movie nights, lunchboxes, or guilt-free munching anytime.",,,taxable,,1,,,0,0,,,,,1,,2.95,3.75,Snacks > Popcorn,"classic, crunchy, movie night, popcorn, salted, snack",,https://cdn.madrasthemes.com/groceria/images/products/popcorn-original.webp,,,,,,,,,0,,Size,"50g, 100g, 200g",0,0,Nutriscore,B,0,0,
99,external,grade-a-dark-amber-maple-syrup,,Grade A Dark Amber Maple Syrup,1,0,visible,"Rich, full-bodied maple syrup with a deep amber color and bold flavor.Harvested from pure maple trees and crafted without additives.Perfect for pancakes, waffles, baking, and sweetening beverages.100% natural, Grade A quality, and packed with authentic taste.","Rich, full-bodied maple syrup with a deep amber color and bold flavor.Harvested from pure maple trees and crafted without additives.Perfect for pancakes, waffles, baking, and sweetening beverages.100% natural, Grade A quality, and packed with authentic taste.A versatile sweetener that enhances both sweet and savory dishes.Sustainably sourced to bring you the purest maple experience.Enjoy a timeless classic that brings warmth and richness to every meal.",,,taxable,,1,,,0,0,,,,,1,,,19.95,Grocery > Sweeteners,"amber, baking, maple syrup, natural sweetener, pancakes",,https://cdn.madrasthemes.com/groceria/images/products/grade-a-dark-amber-maple-syrup.webp,,,,,,,#,Buy Product,0,,Size,"250ml, 500ml, 1L",0,0,Nutriscore,D,0,0,
100,simple,mini-pretzels-family-size,,"Mini Pretzels, Family Size",1,0,visible,Crispy snack-time favorite in a generous sharing pack.,"Crispy, salty, and perfectly bite-sized — our Mini Pretzels come in a generous family-size bag for sharing (or not). A snack-time staple that everyone loves.",,,taxable,,1,,,0,0,,,,,1,,4.5,6.25,Snacks > Crackers & Pretzels,"crunchy, family pack, party snack, pretzels, salty snack",,https://cdn.madrasthemes.com/groceria/images/products/mini-pretzels-family-size.webp,,,,,,,,,0,,Size,"250g, 400g, 750g",0,0,Nutriscore,C,0,0,
101,simple,creamy-peanut-butter,,Creamy Peanut Butter,1,0,visible,"Smooth, rich, and irresistibly creamy peanut butter made from high-quality roasted peanuts.A natural source of protein and energy, perfect for spreading, dipping, or blending into smoothies. Gluten-free, non-GMO, and free from artificial additives.The classic pantry staple for both kids and adults to enjoy every day.","Smooth, rich, and irresistibly creamy peanut butter made from high-quality roasted peanuts.A natural source of protein and energy, perfect for spreading, dipping, or blending into smoothies. Gluten-free, non-GMO, and free from artificial additives.The classic pantry staple for both kids and adults to enjoy every day.",,,taxable,,0,,,0,0,,,,,1,,3.49,4.95,Grocery > Nut Butters,"creamy, pantry, peanut butter, protein-rich, spread",,https://cdn.madrasthemes.com/groceria/images/products/creamy-peanut-butter.webp,,,,,,,,,0,,Size,"250g, 500g, 1kg",0,0,Nutriscore,C,0,0,
102,simple,baby-bananas-bunch,,"Baby Bananas, Bunch",1,0,visible,"Naturally sweet, mini-sized bananas perfect for snacking.","Small in size, big in sweetness — Baby Bananas are naturally creamy and packed with flavor. Ideal for kids' lunches, blending into smoothies, or enjoying on the go.",,,taxable,,1,,,0,0,,,,,1,,2.25,2.99,Produce > Fruits,"baby bananas, bananas, kid-friendly, sweet, tropical fruit",,https://cdn.madrasthemes.com/groceria/images/products/baby-bananas-bunch.webp,,,,,,,,,0,,Size,"250g, 500g, 1kg",0,0,Nutriscore,A,0,0,
103,simple,cal-organic-jumbo-carrots,,Cal-Organic Jumbo Carrots,1,0,visible,"Large, crisp carrots great for juicing or roasting.","Bold in size and rich in earthy sweetness, these Cal-Organic Jumbo Carrots are perfect for roasting, juicing, or chopping into hearty stews. Grown with care and harvested at peak flavor.",,,taxable,,1,,,0,0,,,,,1,,2.99,3.95,Produce > Vegetables,"carrots, fresh produce, jumbo, organic, roasting",,https://cdn.madrasthemes.com/groceria/images/products/cal-organic-jumbo-carrots.webp,,,,,,,,,0,,Size,"2 pcs, 4 pcs, 6 pcs",0,0,Nutriscore,A,0,0,
104,grouped,cara-cara-orange,,Cara Cara Orange,1,0,visible,"Sweet, seedless, and naturally pink-fleshed oranges with a hint of berry-like flavor.Packed with vitamin C, antioxidants, and refreshing juiciness in every bite.Perfect for snacking, juicing, or brightening up your favorite recipes.Non-GMO and hand-picked for the freshest taste.","A citrus lover’s dream, Cara Cara Oranges are low in acid and beautifully pink inside. Sweet, tangy, and full of vitamin C — they make snacking feel like sunshine.Sweet, seedless, and naturally pink-fleshed oranges with a hint of berry-like flavor.Packed with vitamin C, antioxidants, and refreshing juiciness in every bite.Perfect for snacking, juicing, or brightening up your favorite recipes.Non-GMO and hand-picked for the freshest taste.",,,taxable,,1,,,0,0,,,,,1,,,,Produce > Fruits,"cara cara, citrus, oranges, pink flesh, sweet, vitamin C",,https://cdn.madrasthemes.com/groceria/images/products/cara-cara-orange.webp,,,,"golden-sunset-mango, wine-grapes, dessert-apple",,,,,0,,Size,"2 pcs, 4 pcs, 6 pcs",0,0,Nutriscore,A,0,0,
105,simple,wine-grapes,,Wine grapes,1,0,visible,"Sweet, juicy grapes often used for snacking or winemaking.","With their delicate skin and honeyed, floral flavor, wine grapes are a gourmet snack. Enjoy them fresh or paired with cheese and nuts.",,,taxable,,1,,,0,0,,,,,1,,5.95,7.5,Produce > Fruits,"grapes, juicy, seedless, snacking, wine grapes",,https://cdn.madrasthemes.com/groceria/images/products/wine-grapes.webp,,,,,,,,,0,,Size,"250g, 500g, 1kg",0,0,Nutriscore,A,0,0,
106,simple,dessert-apple,,Dessert Apple,1,0,visible,"Sweet, juicy apples ideal for desserts or a healthy treat.","Crisp, sweet, and beautifully blushed, dessert apples are nature’s candy. A delightful snack on their own or sliced into pies and tarts.",,,taxable,,1,,,0,0,,,,,1,,2.99,3.99,Produce > Fruits,"apple, crisp, dessert, fruit, sweet apple",,https://cdn.madrasthemes.com/groceria/images/products/dessert-apple.webp,,,,,,,,,0,,Size,"1 pc, 2 pcs, 6 pcs",0,0,Nutriscore,A,0,0,
107,simple,muscat-grapes,,Muscat Grapes,1,0,visible,"Fragrant, juicy grapes with a honey-like floral taste.","Muscat Grapes offer a unique floral aroma and honeyed flavor that sets them apart. Juicy and fragrant, they’re a gourmet grape variety you’ll want to savor fresh.",,,taxable,,1,,,0,0,,,,,1,,5.95,7.5,Produce > Fruits,"floral, fresh fruit, grapes, juicy, muscat, sweet",,https://cdn.madrasthemes.com/groceria/images/products/muscat-grapes.webp,,,,,,,,,0,,Size,"250g, 500g, 1kg",0,0,Nutriscore,A,0,0,
108,simple,cantaloupe,,Cantaloupe,1,0,visible,"Juicy, sweet melon perfect for snacking or fruit salads.","Bursting with juicy sweetness and floral aroma, cantaloupes are a summer delight. Their tender orange flesh is perfect for fresh fruit bowls, smoothies, or simply chilled and sliced.",,,taxable,,1,,,0,0,,,,,1,,3.75,4.99,Produce > Fruits,"cantaloupe, fruit salad, juicy, melon, sweet",,https://cdn.madrasthemes.com/groceria/images/products/cantaloupe.webp,,,,,,,,,0,,Size,"Half, 1 pc, 2 pcs",0,0,Nutriscore,A,0,0,
109,simple,garlic,,Garlic,1,0,visible,"Fresh, aromatic bulbs to enhance every savory dish.","Pungent, earthy, and powerful — garlic is the backbone of bold cooking. Whether roasted for mellow sweetness or minced raw for a sharp punch, it brings life to every savory dish.",,,taxable,,1,,,0,0,,,,,1,,1.75,2.25,Produce > Vegetables,"aromatic, fresh produce, garlic, pungent, seasoning",,https://cdn.madrasthemes.com/groceria/images/products/garlic.webp,,,,,,,,,0,,Size,"2 bulbs, 5 bulbs, 10 bulbs",0,0,Nutriscore,A,0,0,
110,simple,jumbo-yellow-onion,,Jumbo Yellow Onion,1,0,visible,"Bold and flavorful — ideal for soups, stir-fries, and grilling.","These oversized onions are prized for their sweet depth and mellow flavor. Perfect for caramelizing, roasting, or adding body to soups and stews. A kitchen essential.",,,taxable,,1,,,0,0,,,,,1,,2.25,2.95,Produce > Vegetables,"aromatic, cooking, jumbo, onion, yellow onion",,https://cdn.madrasthemes.com/groceria/images/products/jumbo-yellow-onion.webp,,,,,,,,,0,,Size,"1 pc, 2 pcs, 4 pcs",0,0,Nutriscore,A,0,0,
111,simple,organic-cauliflower,,Organic Cauliflower,1,0,visible,"Crisp, organic florets great for roasting or mashing.","Clean, nutty, and naturally versatile, organic cauliflower transforms into everything from a golden roast to a low-carb mash. Its tightly packed florets are as nutritious as they are delicious.",,,taxable,,1,,,0,0,,,,,1,,4.25,5.5,Produce > Vegetables,"cauliflower, cruciferous, fresh vegetables, organic",,https://cdn.madrasthemes.com/groceria/images/products/organic-cauliflower.webp,,,,,,,,,0,,Size,"1 pc, 2 pcs, florets 300g",0,0,Nutriscore,A,0,0,
112,simple,organic-scallions,,Organic Scallions,1,0,visible,Mild and zesty green onions for garnishes or cooking.,"Delicately zesty and crisp, these organic scallions brighten salads, soups, and stir-fries. Both the green tops and white bulbs offer a light oniony bite.",,,taxable,,1,,,0,0,,,,,1,,1.99,2.75,Produce > Vegetables,"garnish, green onions, organic, scallions, stir-fry",,https://cdn.madrasthemes.com/groceria/images/products/organic-scallions.webp,,,,,,,,,0,,Size,"100g, 200g, bunch",0,0,Nutriscore,A,0,0,
113,simple,organic-artichoke,,Organic Artichoke,1,0,visible,"Tender and earthy, perfect for steaming or dips.","With tender leaves and a buttery heart, organic artichokes are a true delicacy. Steam them whole or bake into dips — their rich, earthy flavor is unmistakably gourmet.",,,taxable,,1,,,0,0,,,,,1,,3.85,4.95,Produce > Vegetables,"artichoke, fiber-rich, fresh produce, organic, seasonal",,https://cdn.madrasthemes.com/groceria/images/products/organic-artichoke.webp,,,,,,,,,0,,Size,"1 pc, 2 pcs, 4 pcs",0,0,Nutriscore,A,0,0,
114,variable,organic-no-caffeine-coffee-alternative,,Organic No Caffeine Coffee Alternative,1,0,visible,"Experience the rich and full-bodied flavor of our Organic No Caffeine Coffee Alternative. Made from only the finest organic ingredients, this caffeine-free alternative offers all the benefits of coffee without the jitters and crashes. Savor every sip, guilt-free.","A cozy, caffeine-free brew crafted from roasted herbs and grains. Rich, earthy, and smooth — it mimics coffee’s depth without the jitters. Ideal for mindful sipping. Experience the rich and full-bodied flavor of our Organic No Caffeine Coffee Alternative. Made from only the finest organic ingredients, this caffeine-free alternative offers all the benefits of coffee without the jitters and crashes. Savor every sip, guilt-free.",,,taxable,,1,,,0,0,,,,,1,,,,Beverages > Coffee Alternatives,"caffeine-free, coffee substitute, herbal blend, organic",,https://cdn.madrasthemes.com/groceria/images/products/organic-no-caffeine-coffee-alternative.webp,,,,,,,,,0,,Size,"150g, 300g, 500g",1,1,Nutriscore,A,1,1,
